generation individual worker  nCores        st        ft
         1          1      1       8	      0         31
         1          2      2       8	      0         77  
         1          3      3       8	      0         80
         1          4      4       8	      0         89
         1          5      5       8	      0         17
         1          6      6       4	      0         15 
         1          7      6       4	      0         60 
         1          8      7       4	      0         21  

         1          9      7       4	      0         41 
         1         10      8       4	      0         83  
         1         11      8       4	      0         18
         1         12      9       2  	    0         20  
         1         13      9       2  	    0         98    
         1         14      9       2  	    0         29  
         1         15      9       2  	    0         37  
         1         16     10       2  	    0         27     

         1         17     10       1 	      0          6 
         1         18     10       1   	    0         27 
         1         19     10       1   	    0         30     
         1         20     10       1   	    0          3 
         1         21     10       1   	    0          4 
         1         22     10       1   	    0         33 
         1         23     11       1   	    0         15
         1         24     11       1 	      0         42  

         1         25     11       1   	    0         31  
         1         26     11       1   	    0         17  
         1         27     11       1   	    0         19  
         1         28     11       1   	    0         34 
         1         29     11       1   	    0         29  
         1         30     11       1  	    0         53 
         1         31     12       1 	      0         76  
         1         32     12       1 	      0         59 

         1         33     12       1 	      0         89 
         1         34     12       1 	      0          4
         1         35     12       1 	      0         36 
         1         36     12       1 	      0         62  
         1         37     12       1 	      0         14
         1         38     12       1 	      0         60
         1         39     13       1   	    0         15  
         1         40     13       1   	    0         60  

         1         41     13       1	      0         42  
         1         42     13       1	      0        110   
         1         43     13       1	      0         49  
         1         44     13       1	      0         75  
         1         45     13       1	      0         61 
         1         46     13       1	      0         36 
         1         47     14       1	      0        110
         1         48     14       1	      0         43

         1         49     14       1	      0         40
         1         50     14       1	      0         31
         1         51     14       1	      0         50
         1         52     14       1	      0         89
         1         53     14       1	      0         38
         1         54     14       1	      0         66
         1         55     15       1	      0         38
         1         56     15       1	      0         21

         1         57     15       1	      0         41
         1         58     15       1	      0        110
         1         59     15       1	      0         56
         1         60     15       1	      0         29
         1         61     15       1	      0         83
         1         62     15       1	      0         26
         1         63     16       1 	      0         45  
         1         64     16       1 	      0         17  

         2          1      1       8  	  110        171
         2          2      2       8  	  110        137  
         2          3      3       8  	  110        124
         2          4      4       4 	    110        210
         2          5      4       4 	    110        216
         2          6      5       2	    110        168
         2          7      5       2	    110        198
         2          8      5       2	    110        143

         2          9      5       2	    110        132
         2         10      6       2  	  110        165
         2         11      6       2  	  110        140
         2         12      6       2  	  110        140
         2         13      6       2  	  110        220
         2         14      7       1	    110        116   
         2         15      7       1	    110        204
         2         16      7       1	    110        220

         2         17      7       1	    110        135
         2         18      7       1	    110        130
         2         19      7       1	    110        171
         2         20      7       1	    110        155
         2         21      7       1	    110        184
         2         22      8       1	    110        125
         2         23      8       1	    110        131
         2         24      8       1	    110        132

         2         25      8       1	    110        142
         2         26      8       1	    110        173
         2         27      8       1	    110        167
         2         28      8       1	    110        115
         2         29      8       1	    110        146
         2         30      9       1	    110        181
         2         31      9       1	    110        212
         2         32      9       1	    110        168

         2         33      9       1	    110        128
         2         34      9       1	    110        115
         2         35      9       1	    110        174
         2         36      9       1	    110        164
         2         37      9       1	    110        178
         2         38     10       1	    110        138
         2         39     10       1	    110        171
         2         40     10       1	    110        167

         2         41     10       1	    110        155
         2         42     10       1	    110        157
         2         43     10       1	    110        168
         2         44     10       1	    110        148
         2         45     10       1	    110        176
         2         46     11       1	    110        153
         2         47     11       1	    110        160
         2         48     11       1	    110        212

         2         49     11       1	    110        137
         2         50     11       1	    110        150
         2         51     11       1	    110        149
         2         52     11       1	    110        176
         2         53     11       1	    110        131
         2         54     12       1	    110        133
         2         55     12       1	    110        158
         2         56     12       1	    110        129

         2         57     12       1	    110        152
         2         58     12       1	    110        148
         2         59     12       1	    110        141
         2         60     12       1	    110        137
         2         NA               	     NA           
         2         NA               	     NA           
         2         NA               	     NA             
         2         NA               	     NA             

         3          1      1        8	    222        243
         3          2      2        8 	  222        238
         3          3      3        4	    222        237
