taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
2030 3590 2 60 1820 1 1 jonquera-ga-8-cores C5 C4
2031 3590 2 60 470 1 1 jonquera-ga-8-cores C5 C4
2032 3590 2 60 660 1 1 jonquera-ga-8-cores C5 C4
2033 3590 2 60 960 1 1 jonquera-ga-8-cores C5 C4
2034 3590 2 60 790 1 1 jonquera-ga-8-cores C5 C4
2035 3590 2 60 290 1 1 jonquera-ga-8-cores C5 C4
2036 3590 2 60 2080 1 1 jonquera-ga-8-cores C5 C4
2037 3590 2 60 1040 1 1 jonquera-ga-8-cores C5 C4
2038 3590 2 60 640 1 1 jonquera-ga-8-cores C5 C4
2039 3590 2 60 1410 1 1 jonquera-ga-8-cores C5 C4
2040 3590 2 60 730 1 1 jonquera-ga-8-cores C5 C4
2041 3590 2 60 450 1 1 jonquera-ga-8-cores C5 C4
2042 3590 2 60 450 1 1 jonquera-ga-8-cores C5 C4
2043 3590 2 60 1880 1 1 jonquera-ga-8-cores C5 C4
2044 3590 2 60 450 1 1 jonquera-ga-8-cores C5 C4
2045 3590 2 60 490 1 1 jonquera-ga-8-cores C5 C4
2046 3590 2 60 1080 1 1 jonquera-ga-8-cores C5 C4
2047 3590 2 60 690 1 1 jonquera-ga-8-cores C5 C4
2048 3590 2 60 470 1 1 jonquera-ga-8-cores C5 C4
2049 3590 2 60 470 1 1 jonquera-ga-8-cores C5 C4
2050 3590 2 60 1360 1 1 jonquera-ga-8-cores C5 C4
2051 3590 2 60 1690 1 1 jonquera-ga-8-cores C5 C4
2052 3590 2 60 310 1 1 jonquera-ga-8-cores C5 C4
2053 3590 2 60 2140 1 1 jonquera-ga-8-cores C5 C4
2054 3590 2 60 1360 1 1 jonquera-ga-8-cores C5 C4
2055 3590 2 60 510 1 1 jonquera-ga-8-cores C5 C4
2056 3590 2 60 350 1 1 jonquera-ga-8-cores C5 C4
2057 3590 2 60 350 1 1 jonquera-ga-8-cores C5 C4
2058 3590 2 60 1690 1 1 jonquera-ga-8-cores C5 C4
2059 3590 2 60 310 1 1 jonquera-ga-8-cores C5 C4
2060 3590 2 60 290 1 1 jonquera-ga-8-cores C5 C4
3001 5870 3 60 2130 1 1 jonquera-ga-8-cores C5 C4
3002 5870 3 60 370 1 1 jonquera-ga-8-cores C5 C4
3003 5870 3 60 740 1 1 jonquera-ga-8-cores C5 C4
3004 5870 3 60 1290 1 1 jonquera-ga-8-cores C5 C4
3005 5870 3 60 650 1 1 jonquera-ga-8-cores C5 C4
3006 5870 3 60 1330 1 1 jonquera-ga-8-cores C5 C4
3007 5870 3 60 300 1 1 jonquera-ga-8-cores C5 C4
3008 5870 3 60 370 1 1 jonquera-ga-8-cores C5 C4
3009 5870 3 60 590 1 1 jonquera-ga-8-cores C5 C4
3010 5870 3 60 840 1 1 jonquera-ga-8-cores C5 C4
3011 5870 3 60 430 1 1 jonquera-ga-8-cores C5 C4
3012 5870 3 60 530 1 1 jonquera-ga-8-cores C5 C4
3013 5870 3 60 1500 1 1 jonquera-ga-8-cores C5 C4
3014 5870 3 60 1220 1 1 jonquera-ga-8-cores C5 C4
3015 5870 3 60 650 1 1 jonquera-ga-8-cores C5 C4
3016 5870 3 60 1430 1 1 jonquera-ga-8-cores C5 C4
3017 5870 3 60 1110 1 1 jonquera-ga-8-cores C5 C4
3018 5870 3 60 1600 1 1 jonquera-ga-8-cores C5 C4
3019 5870 3 60 1750 1 1 jonquera-ga-8-cores C5 C4
3020 5870 3 60 570 1 1 jonquera-ga-8-cores C5 C4
3021 5870 3 60 800 1 1 jonquera-ga-8-cores C5 C4
3022 5870 3 60 800 1 1 jonquera-ga-8-cores C5 C4
3023 5870 3 60 2150 1 1 jonquera-ga-8-cores C5 C4
3024 5870 3 60 650 1 1 jonquera-ga-8-cores C5 C4
3025 5870 3 60 1580 1 1 jonquera-ga-8-cores C5 C4
3026 5870 3 60 990 1 1 jonquera-ga-8-cores C5 C4
