taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
 197028  90288   71  9843 5846   8   8 gwa-t10 C2 C2
 197029  90288   71  9843 1860   8   8 gwa-t10 C2 C2
 197030  90288   71  9843 3341   8   8 gwa-t10 C2 C2
 197031  90288   71  9843 2227   8   8 gwa-t10 C2 C2
 197032  90288   71  9843 2155   8   8 gwa-t10 C2 C2
 197033  90288   71  9843 2654   8   8 gwa-t10 C2 C2
 197034  90288   71  9843 2236   8   8 gwa-t10 C2 C2
 197035  90288   71  9843 2822   8   8 gwa-t10 C2 C2
 197036  90288   71  9843  362   8   8 gwa-t10 C2 C2
 197037  90288   71  9843 4385   8   8 gwa-t10 C2 C2
 197038  90288   71  9843 1037   8   8 gwa-t10 C2 C2
 197039  90288   71  9843  280   8   8 gwa-t10 C2 C2
 197040  90288   71  9843 3980   8   8 gwa-t10 C2 C2
 197041  90288   71  9843 3733   8   8 gwa-t10 C2 C2
 197042  90288   71  9843 2970   8   8 gwa-t10 C2 C2
 197043  90288   71  9843 3820   8   8 gwa-t10 C2 C2
 197044  90288   71  9843 2448   8   8 gwa-t10 C2 C2
 197045  90288   71  9843 2575   8   8 gwa-t10 C2 C2
 197046  90288   71  9843 2402   8   8 gwa-t10 C2 C2
 197047  90288   71  9843 5670   8   8 gwa-t10 C2 C2
 197048  90288   71  9843 3174   8   8 gwa-t10 C2 C2
 197049  90288   71  9843 4036   8   8 gwa-t10 C2 C2
 197050  90288   71  9843 3777   8   8 gwa-t10 C2 C2
 197051  90288   71  9843 3740   8   8 gwa-t10 C2 C2
 197052  90288   71  9843 2910   8   8 gwa-t10 C2 C2
 197053  90288   71  9843 1613   8   8 gwa-t10 C2 C2
 197054  90288   71  9843 1292   8   8 gwa-t10 C2 C2
 197055  90288   71  9843 2030   8   8 gwa-t10 C2 C2
 197056  90288   71  9843 4130   8   8 gwa-t10 C2 C2
 197057  90288   71  9843 3335   8   8 gwa-t10 C2 C2
 197058  90288   71  9843 5537   8   8 gwa-t10 C2 C2
 197059  90288   71  9843 3531   8   8 gwa-t10 C2 C2
 197060  90288   71  9843 4344   8   8 gwa-t10 C2 C2
 197061  90288   71  9843  891   8   8 gwa-t10 C2 C2
 197062  90288   71  9843 5107   8   8 gwa-t10 C2 C2
 197063  90288   71  9843 3887   8   8 gwa-t10 C2 C2
 197064  90288   71  9843  716   8   8 gwa-t10 C2 C2
 197065  90288   71  9843 4204   8   8 gwa-t10 C2 C2
 197066  90288   71  9843 1319   8   8 gwa-t10 C2 C2
 197067  90288   71  9843  401   8   8 gwa-t10 C2 C2
 197068  90288   71  9843  220   8   8 gwa-t10 C2 C2
 197069  90288   71  9843 2664   8   8 gwa-t10 C2 C2
 197070  90288   71  9843 4357   8   8 gwa-t10 C2 C2
 197071  90288   71  9843 1679   8   8 gwa-t10 C2 C2
 197072  90288   71  9843 4330   8   8 gwa-t10 C2 C2
 197073  90288   71  9843 2979   8   8 gwa-t10 C2 C2
 197074  90288   71  9843 5738   8   8 gwa-t10 C2 C2
 197075  90288   71  9843 3420   8   8 gwa-t10 C2 C2
 197076  90288   71  9843 2998   8   8 gwa-t10 C2 C2
 197077  90288   71  9843 1385   8   8 gwa-t10 C2 C2
 197078  90288   71  9843 3369   8   8 gwa-t10 C2 C2
 197079  90288   71  9843 2577   8   8 gwa-t10 C2 C2
 197080  90288   71  9843 3699   8   8 gwa-t10 C2 C2
